week,depression,ocd,anxiety,insomnia,therapy,nation
1/3/2021,0,0,7,14,32,Ukraine
1/31/2021,0,3,10,10,36,Ukraine
9/5/2021,0,4,29,4,37,Ukraine
4/14/2019,0,2,4,0,17,Iran
11/17/2019,0,0,0,100,33,Iran
11/22/2020,0,6,21,3,27,Argentina
2/7/2021,0,6,16,6,48,Argentina
1/6/2019,0,0,0,6,55,Colombia
2/17/2019,0,5,9,0,32,Colombia
5/26/2019,0,13,4,4,31,Colombia
6/21/2020,0,14,14,4,49,Colombia
1/24/2021,0,8,20,0,36,Colombia
9/5/2021,0,17,17,0,34,Colombia
2/3/2019,1,0,5,3,15,Turkey
10/27/2019,1,2,6,4,14,Turkey
7/4/2021,1,2,3,3,16,Turkey
1/20/2019,2,1,8,4,15,Turkey
2/17/2019,2,2,4,4,14,Turkey
3/24/2019,2,2,3,4,22,Turkey
5/5/2019,2,2,5,3,11,Turkey
7/14/2019,2,3,7,4,17,Turkey
7/28/2019,2,2,6,3,18,Turkey
9/22/2019,2,1,5,6,16,Turkey
1/12/2020,2,1,5,3,21,Turkey
2/2/2020,2,1,3,2,14,Turkey
2/23/2020,2,2,4,5,17,Turkey
3/29/2020,2,2,3,5,19,Turkey
5/24/2020,2,4,3,5,21,Turkey
6/14/2020,2,4,6,3,18,Turkey
6/21/2020,2,3,4,6,81,Turkey
7/26/2020,2,3,5,6,44,Turkey
12/13/2020,2,2,2,4,17,Turkey
3/7/2021,2,2,5,4,20,Turkey
3/14/2021,2,1,2,4,14,Turkey
3/28/2021,2,3,3,3,16,Turkey
6/27/2021,2,3,6,2,17,Turkey
1/20/2019,2,4,16,2,22,Iran
2/3/2019,2,4,8,8,23,Iran
3/17/2019,2,7,7,2,17,Iran
6/2/2019,2,6,10,4,16,Iran
8/4/2019,2,14,9,9,30,Iran
8/18/2019,2,4,6,9,26,Iran
9/8/2019,2,8,2,6,27,Iran
11/10/2019,2,4,6,9,23,Iran
7/4/2021,2,7,10,4,27,Iran
9/26/2021,2,6,7,5,19,Iran
4/19/2020,2,17,17,0,81,Argentina
6/21/2020,3,3,0,7,42,Ukraine
11/15/2020,3,0,13,0,81,Ukraine
1/10/2021,3,3,13,10,29,Ukraine
1/17/2021,3,6,6,3,38,Ukraine
3/28/2021,3,0,3,7,64,Ukraine
4/4/2021,3,7,13,7,46,Ukraine
1/6/2019,3,3,5,5,15,Turkey
3/31/2019,3,1,4,2,15,Turkey
4/7/2019,3,1,1,4,16,Turkey
4/14/2019,3,2,4,1,11,Turkey
4/28/2019,3,3,2,3,21,Turkey
6/2/2019,3,0,2,5,23,Turkey
6/16/2019,3,3,2,4,24,Turkey
7/7/2019,3,2,5,2,15,Turkey
9/1/2019,3,1,5,4,15,Turkey
9/15/2019,3,2,2,5,18,Turkey
10/6/2019,3,2,4,3,19,Turkey
12/8/2019,3,3,4,2,18,Turkey
4/19/2020,3,4,3,5,13,Turkey
5/3/2020,3,1,4,6,17,Turkey
6/7/2020,3,3,4,2,20,Turkey
8/16/2020,3,4,4,4,52,Turkey
8/23/2020,3,2,6,4,56,Turkey
8/30/2020,3,3,4,5,38,Turkey
9/13/2020,3,3,4,2,34,Turkey
10/11/2020,3,4,3,5,23,Turkey
10/18/2020,3,1,3,3,35,Turkey
11/1/2020,3,3,2,3,13,Turkey
11/8/2020,3,1,4,2,21,Turkey
11/15/2020,3,4,3,2,18,Turkey
12/27/2020,3,2,4,2,14,Turkey
1/3/2021,3,<1,5,5,12,Turkey
1/31/2021,3,1,3,4,13,Turkey
2/28/2021,3,2,3,4,17,Turkey
4/25/2021,3,1,4,6,14,Turkey
5/9/2021,3,3,6,4,17,Turkey
5/16/2021,3,3,6,5,13,Turkey
7/11/2021,3,2,4,5,18,Turkey
8/29/2021,3,3,4,5,13,Turkey
9/26/2021,3,1,5,1,14,Turkey
12/8/2019,3,0,3,8,14,Iran
6/21/2020,3,7,6,1,21,Iran
1/24/2021,3,7,2,3,15,Iran
7/5/2020,3,10,20,0,44,Colombia
8/16/2020,3,3,10,3,24,Colombia
9/6/2020,3,0,13,3,47,Colombia
5/2/2021,3,3,10,0,59,Colombia
7/25/2021,3,6,4,18,22,Italy
7/25/2021,3,6,4,18,22,Italy
5/9/2021,4,17,15,28,67,Poland
8/11/2019,4,0,20,32,43,Ukraine
7/19/2020,4,7,14,7,50,Ukraine
8/16/2020,4,0,18,4,42,Ukraine
8/23/2020,4,0,11,11,25,Ukraine
9/12/2021,4,0,28,9,67,Russia
3/3/2019,4,3,3,4,20,Turkey
3/10/2019,4,2,3,3,18,Turkey
5/12/2019,4,2,5,3,18,Turkey
5/26/2019,4,1,2,5,16,Turkey
6/9/2019,4,1,4,4,17,Turkey
6/23/2019,4,1,5,3,16,Turkey
8/4/2019,4,1,4,7,22,Turkey
8/11/2019,4,1,3,7,15,Turkey
9/8/2019,4,2,5,5,16,Turkey
10/13/2019,4,1,2,3,18,Turkey
11/10/2019,4,2,2,3,17,Turkey
11/24/2019,4,3,3,4,19,Turkey
12/1/2019,4,3,3,4,21,Turkey
1/5/2020,4,<1,4,6,20,Turkey
1/19/2020,4,2,5,5,21,Turkey
3/8/2020,4,3,5,5,18,Turkey
3/15/2020,4,4,4,4,15,Turkey
6/28/2020,4,2,7,4,82,Turkey
7/19/2020,4,3,7,4,61,Turkey
9/20/2020,4,3,5,2,36,Turkey
11/29/2020,4,4,6,6,13,Turkey
12/6/2020,4,2,4,3,19,Turkey
12/20/2020,4,1,3,4,16,Turkey
1/17/2021,4,<1,3,3,16,Turkey
1/24/2021,4,3,5,6,19,Turkey
2/7/2021,4,1,4,3,14,Turkey
2/14/2021,4,2,3,4,12,Turkey
2/21/2021,4,2,3,5,22,Turkey
4/11/2021,4,3,5,6,16,Turkey
4/18/2021,4,2,5,3,18,Turkey
5/2/2021,4,3,6,4,14,Turkey
5/30/2021,4,3,2,3,15,Turkey
6/6/2021,4,1,4,4,16,Turkey
6/20/2021,4,3,7,2,18,Turkey
7/25/2021,4,1,5,1,13,Turkey
8/1/2021,4,1,5,2,12,Turkey
8/15/2021,4,2,4,4,17,Turkey
8/22/2021,4,4,3,5,19,Turkey
9/12/2021,4,2,4,3,16,Turkey
4/21/2019,4,2,4,6,30,Iran
4/28/2019,4,6,10,6,29,Iran
6/16/2019,4,2,9,14,40,Iran
7/14/2019,4,5,5,4,7,Iran
10/6/2019,4,0,12,0,25,Iran
2/23/2020,4,9,3,10,24,Iran
3/1/2020,4,4,3,12,26,Iran
3/29/2020,4,7,4,16,16,Iran
4/19/2020,4,18,5,4,24,Iran
1/31/2021,4,4,7,4,15,Iran
2/21/2021,4,8,7,1,12,Iran
9/19/2021,4,4,4,0,13,Iran
1/13/2019,4,0,20,12,52,Argentina
2/17/2019,4,4,23,8,26,Argentina
4/21/2019,4,4,4,7,15,Argentina
9/1/2019,4,13,0,0,68,Colombia
11/24/2019,4,13,22,4,54,Colombia
1/26/2020,4,4,17,4,59,Colombia
10/4/2020,4,4,12,0,52,Colombia
1/17/2021,4,8,4,0,58,Colombia
3/21/2021,4,0,4,0,37,Colombia
7/4/2021,4,4,24,8,48,Colombia
8/1/2021,4,8,4,11,45,Colombia
7/21/2019,5,13,26,28,64,Poland
2/14/2021,5,2,15,4,45,Russia
1/13/2019,5,3,4,4,15,Turkey
1/27/2019,5,1,5,3,11,Turkey
2/10/2019,5,2,4,<1,18,Turkey
3/17/2019,5,<1,5,1,21,Turkey
5/19/2019,5,3,2,3,14,Turkey
6/30/2019,5,2,3,2,16,Turkey
8/18/2019,5,1,7,3,20,Turkey
8/25/2019,5,2,3,1,23,Turkey
11/3/2019,5,3,7,3,20,Turkey
11/17/2019,5,2,2,4,21,Turkey
1/26/2020,5,1,4,3,20,Turkey
2/9/2020,5,2,1,4,19,Turkey
2/16/2020,5,2,6,4,19,Turkey
3/1/2020,5,1,5,6,21,Turkey
3/22/2020,5,1,3,4,15,Turkey
4/5/2020,5,1,4,3,11,Turkey
4/26/2020,5,2,1,5,17,Turkey
5/10/2020,5,5,7,5,16,Turkey
5/17/2020,5,4,2,7,16,Turkey
7/5/2020,5,<1,4,2,100,Turkey
8/9/2020,5,2,3,4,45,Turkey
9/27/2020,5,2,7,3,32,Turkey
10/25/2020,5,2,3,6,25,Turkey
11/22/2020,5,3,5,3,18,Turkey
3/21/2021,5,1,4,4,14,Turkey
4/4/2021,5,2,4,3,11,Turkey
5/23/2021,5,2,5,4,15,Turkey
7/18/2021,5,2,6,3,19,Turkey
9/5/2021,5,2,4,3,16,Turkey
9/19/2021,5,2,6,3,20,Turkey
8/25/2019,5,9,13,4,16,Iran
11/24/2019,5,5,9,14,23,Iran
2/2/2020,5,6,6,8,24,Iran
4/26/2020,5,9,9,3,15,Iran
9/20/2020,5,2,2,1,17,Iran
10/11/2020,5,1,2,10,15,Iran
10/25/2020,5,4,7,1,18,Iran
2/28/2021,5,7,8,2,14,Iran
4/11/2021,5,2,9,1,17,Iran
7/25/2021,5,10,5,5,23,Iran
8/8/2021,5,4,11,7,17,Iran
8/29/2021,5,1,8,0,11,Iran
9/5/2021,5,10,4,1,19,Iran
9/12/2021,5,4,5,4,19,Iran
6/21/2020,5,16,13,8,70,Argentina
3/17/2019,5,9,9,5,70,Colombia
4/7/2019,5,10,10,0,15,Colombia
4/28/2019,5,10,10,0,63,Colombia
12/27/2020,5,26,5,0,57,Colombia
7/21/2019,5,2,14,36,37,Italy
3/8/2020,5,4,5,2,26,Italy
7/5/2020,5,7,7,4,28,Italy
12/6/2020,5,7,5,5,28,Italy
12/20/2020,5,3,11,1,28,Italy
7/18/2021,5,5,10,5,31,Italy
8/29/2021,5,2,6,8,16,Italy
9/19/2021,5,9,12,5,37,Italy
7/21/2019,5,2,14,36,37,Italy
3/8/2020,5,4,5,2,26,Italy
7/5/2020,5,7,7,4,28,Italy
12/6/2020,5,7,5,5,28,Italy
12/20/2020,5,3,11,1,28,Italy
7/18/2021,5,5,10,5,31,Italy
8/29/2021,5,2,6,8,16,Italy
9/19/2021,5,9,12,5,37,Italy
2/2/2020,6,3,9,9,74,Ukraine
2/9/2020,6,3,6,19,47,Ukraine
5/31/2020,6,3,16,19,47,Ukraine
12/6/2020,6,3,10,3,38,Ukraine
1/24/2021,6,0,16,10,32,Ukraine
2/14/2021,6,3,9,3,57,Ukraine
8/18/2019,6,0,10,14,62,Russia
8/16/2020,6,8,10,12,56,Russia
1/3/2021,6,0,19,2,56,Russia
9/29/2019,6,<1,5,2,20,Turkey
10/20/2019,6,1,4,4,19,Turkey
12/15/2019,6,2,3,3,19,Turkey
12/22/2019,6,1,4,3,17,Turkey
4/12/2020,6,2,4,6,18,Turkey
