week,trendvalue,term,nation
3/10/2019,100,depression,Italy
5/24/2020,100,ocd,India
6/14/2020,100,depression,India
3/17/2019,100,anxiety,India
4/12/2020,100,insomnia,India
5/9/2021,100,therapy,India
4/21/2019,100,ocd,Brazil
4/21/2019,100,depression,Brazil
3/21/2021,100,anxiety,Brazil
4/5/2020,100,insomnia,Brazil
9/15/2019,100,therapy,Brazil
8/1/2021,100,anxiety,Italy
12/27/2020,100,ocd,New Zealand
3/31/2019,100,depression,New Zealand
2/24/2019,100,anxiety,New Zealand
9/5/2021,100,insomnia,New Zealand
2/14/2021,100,therapy,New Zealand
9/19/2021,100,ocd,United States
3/3/2019,100,depression,United States
2/28/2021,100,anxiety,United States
9/26/2021,100,anxiety,United States
1/3/2021,100,insomnia,United States
10/18/2020,100,insomnia,Italy
3/8/2020,100,therapy,Italy
1/12/2020,100,ocd,Mexico
9/13/2020,100,depression,Mexico
12/13/2020,100,anxiety,Mexico
4/12/2020,100,insomnia,Mexico
8/1/2021,100,therapy,Mexico
5/10/2020,100,ocd,Italy
5/26/2019,99,therapy,Brazil
3/31/2019,99,therapy,Mexico
5/16/2021,98,therapy,India
4/18/2021,98,anxiety,Brazil
6/2/2019,98,therapy,Brazil
1/17/2021,98,anxiety,United States
2/21/2021,98,anxiety,United States
3/7/2021,98,anxiety,United States
9/12/2021,98,anxiety,United States
9/19/2021,98,anxiety,United States
4/5/2020,98,insomnia,Mexico
4/11/2021,98,therapy,Mexico
5/16/2021,98,therapy,Mexico
8/8/2021,98,therapy,Mexico
5/19/2019,97,therapy,Brazil
5/2/2021,97,anxiety,Italy
9/12/2021,97,anxiety,Italy
8/23/2020,97,anxiety,United States
4/11/2021,97,anxiety,United States
4/25/2021,97,anxiety,United States
8/22/2021,97,anxiety,United States
8/29/2021,97,anxiety,United States
1/10/2021,97,insomnia,United States
10/18/2020,97,therapy,Italy
5/23/2021,96,therapy,India
3/29/2020,96,insomnia,Brazil
3/8/2020,96,therapy,Brazil
4/18/2021,96,anxiety,Italy
10/18/2020,96,anxiety,United States
1/24/2021,96,anxiety,United States
2/7/2021,96,anxiety,United States
9/5/2021,96,anxiety,United States
4/18/2021,96,therapy,Mexico
4/26/2020,95,insomnia,Brazil
5/12/2019,95,therapy,Brazil
9/8/2019,95,therapy,Brazil
9/22/2019,95,therapy,Brazil
9/19/2021,95,therapy,Brazil
2/10/2019,95,depression,United States
3/10/2019,95,depression,United States
3/24/2019,95,depression,United States
11/3/2019,95,depression,United States
7/12/2020,95,anxiety,United States
1/31/2021,95,anxiety,United States
4/18/2021,95,anxiety,United States
7/4/2021,95,anxiety,United States
8/15/2021,95,anxiety,United States
4/19/2020,95,insomnia,United States
4/11/2021,94,anxiety,Brazil
10/13/2019,94,therapy,Brazil
4/18/2021,94,therapy,Brazil
1/24/2021,94,anxiety,Italy
2/24/2019,94,anxiety,United States
10/20/2019,94,anxiety,United States
3/22/2020,94,anxiety,United States
7/26/2020,94,anxiety,United States
9/20/2020,94,anxiety,United States
4/4/2021,94,anxiety,United States
5/2/2021,94,anxiety,United States
7/18/2021,94,anxiety,United States
1/5/2020,94,insomnia,United States
10/6/2019,94,therapy,Mexico
2/21/2021,94,therapy,Mexico
8/22/2021,94,therapy,Mexico
5/2/2021,93,therapy,India
5/24/2020,93,ocd,Brazil
4/19/2020,93,insomnia,Brazil
5/5/2019,93,therapy,Brazil
10/20/2019,93,therapy,Brazil
7/18/2021,93,anxiety,Italy
2/17/2019,93,depression,United States
3/17/2019,93,depression,United States
11/17/2019,93,depression,United States
2/16/2020,93,anxiety,United States
7/5/2020,93,anxiety,United States
8/30/2020,93,anxiety,United States
9/13/2020,93,anxiety,United States
10/4/2020,93,anxiety,United States
10/11/2020,93,anxiety,United States
3/21/2021,93,anxiety,United States
5/9/2021,93,anxiety,United States
5/16/2021,93,anxiety,United States
7/11/2021,93,anxiety,United States
8/8/2021,93,anxiety,United States
3/24/2019,93,therapy,Mexico
5/19/2019,93,therapy,Mexico
9/22/2019,93,therapy,Mexico
2/16/2020,93,therapy,Mexico
2/23/2020,93,therapy,Mexico
8/15/2021,93,therapy,Mexico
4/19/2020,92,ocd,India
5/3/2020,92,insomnia,India
5/30/2021,92,therapy,India
4/4/2021,92,anxiety,Brazil
9/29/2019,92,therapy,Brazil
5/30/2021,92,therapy,Brazil
6/13/2021,92,therapy,Brazil
6/14/2020,92,anxiety,Italy
1/10/2021,92,anxiety,Italy
8/2/2020,92,depression,New Zealand
8/29/2021,92,therapy,New Zealand
2/3/2019,92,depression,United States
10/13/2019,92,depression,United States
10/27/2019,92,depression,United States
12/1/2019,92,depression,United States
1/6/2019,92,anxiety,United States
7/21/2019,92,anxiety,United States
2/23/2020,92,anxiety,United States
3/29/2020,92,anxiety,United States
4/26/2020,92,anxiety,United States
6/21/2020,92,anxiety,United States
8/9/2020,92,anxiety,United States
8/16/2020,92,anxiety,United States
11/15/2020,92,anxiety,United States
12/6/2020,92,anxiety,United States
1/3/2021,92,anxiety,United States
7/25/2021,92,anxiety,United States
1/17/2021,92,insomnia,United States
1/24/2021,92,insomnia,United States
3/3/2019,92,therapy,Mexico
3/8/2020,92,therapy,Mexico
5/30/2021,92,therapy,Mexico
7/18/2021,92,therapy,Mexico
4/18/2021,91,therapy,India
6/6/2021,91,therapy,India
3/28/2021,91,anxiety,Brazil
5/23/2021,91,anxiety,Brazil
5/30/2021,91,anxiety,Brazil
6/14/2020,91,insomnia,Brazil
6/21/2020,91,insomnia,Brazil
8/18/2019,91,therapy,Brazil
8/25/2019,91,therapy,Brazil
10/27/2019,91,therapy,Brazil
11/3/2019,91,therapy,Brazil
10/18/2020,91,therapy,Brazil
3/21/2021,91,therapy,Brazil
9/12/2021,91,therapy,Brazil
9/26/2021,91,therapy,Brazil
3/21/2021,91,anxiety,Italy
1/27/2019,91,depression,United States
4/7/2019,91,depression,United States
4/21/2019,91,depression,United States
2/23/2020,91,depression,United States
3/17/2019,91,anxiety,United States
8/11/2019,91,anxiety,United States
2/9/2020,91,anxiety,United States
6/28/2020,91,anxiety,United States
9/6/2020,91,anxiety,United States
9/27/2020,91,anxiety,United States
11/29/2020,91,anxiety,United States
1/10/2021,91,anxiety,United States
5/30/2021,91,anxiety,United States
6/6/2021,91,anxiety,United States
1/6/2019,91,insomnia,United States
8/8/2021,91,anxiety,Mexico
4/7/2019,91,therapy,Mexico
5/12/2019,91,therapy,Mexico
6/2/2019,91,therapy,Mexico
10/13/2019,91,therapy,Mexico
5/17/2020,91,therapy,Mexico
7/5/2020,91,therapy,Mexico
10/18/2020,91,therapy,Mexico
3/14/2021,91,therapy,Mexico
3/21/2021,91,therapy,Mexico
4/25/2021,91,therapy,Mexico
5/23/2021,91,therapy,Mexico
7/25/2021,91,therapy,Mexico
4/26/2020,90,therapy,India
6/28/2020,90,ocd,Brazil
3/7/2021,90,anxiety,Brazil
3/14/2021,90,anxiety,Brazil
5/16/2021,90,anxiety,Brazil
4/21/2019,90,therapy,Brazil
11/17/2019,90,therapy,Brazil
3/1/2020,90,therapy,Brazil
3/15/2020,90,therapy,Brazil
6/14/2020,90,therapy,Brazil
4/4/2021,90,therapy,Brazil
8/22/2021,90,therapy,Brazil
4/4/2021,90,anxiety,Italy
6/16/2019,90,depression,New Zealand
6/30/2019,90,depression,New Zealand
9/15/2019,90,depression,New Zealand
9/13/2020,90,depression,New Zealand
9/1/2019,90,anxiety,New Zealand
10/4/2020,90,therapy,New Zealand
4/11/2021,90,therapy,New Zealand
5/9/2021,90,therapy,New Zealand
1/13/2019,90,depression,United States
3/31/2019,90,depression,United States
4/28/2019,90,depression,United States
10/6/2019,90,depression,United States
11/10/2019,90,depression,United States
12/8/2019,90,depression,United States
2/16/2020,90,depression,United States
1/20/2019,90,anxiety,United States
2/3/2019,90,anxiety,United States
2/17/2019,90,anxiety,United States
3/24/2019,90,anxiety,United States
7/28/2019,90,anxiety,United States
8/4/2019,90,anxiety,United States
8/18/2019,90,anxiety,United States
11/3/2019,90,anxiety,United States
1/5/2020,90,anxiety,United States
1/19/2020,90,anxiety,United States
10/25/2020,90,anxiety,United States
3/28/2021,90,anxiety,United States
5/23/2021,90,anxiety,United States
6/13/2021,90,anxiety,United States
6/27/2021,90,anxiety,United States
1/19/2020,90,insomnia,United States
4/26/2020,90,insomnia,United States
3/17/2019,90,therapy,Mexico
11/3/2019,90,therapy,Mexico
2/28/2021,90,therapy,Mexico
4/4/2021,90,therapy,Mexico
6/20/2021,90,therapy,Mexico
7/4/2021,90,therapy,Mexico
5/17/2020,90,ocd,Italy
10/4/2020,89,ocd,India
4/25/2021,89,therapy,India
5/12/2019,89,ocd,Brazil
5/10/2020,89,ocd,Brazil
4/12/2020,89,insomnia,Brazil
6/9/2019,89,therapy,Brazil
9/1/2019,89,therapy,Brazil
10/6/2019,89,therapy,Brazil
11/8/2020,89,therapy,Brazil
3/14/2021,89,therapy,Brazil
3/28/2021,89,therapy,Brazil
5/23/2021,89,therapy,Brazil
6/20/2021,89,therapy,Brazil
6/21/2020,89,anxiety,Italy
10/13/2019,89,therapy,New Zealand
5/2/2021,89,therapy,New Zealand
2/24/2019,89,depression,United States
5/5/2019,89,depression,United States
2/10/2019,89,anxiety,United States
3/3/2019,89,anxiety,United States
3/10/2019,89,anxiety,United States
4/28/2019,89,anxiety,United States
9/8/2019,89,anxiety,United States
9/22/2019,89,anxiety,United States
11/17/2019,89,anxiety,United States
3/1/2020,89,anxiety,United States
6/14/2020,89,anxiety,United States
7/19/2020,89,anxiety,United States
3/14/2021,89,anxiety,United States
6/20/2021,89,anxiety,United States
8/1/2021,89,anxiety,United States
7/19/2020,89,insomnia,United States
3/10/2019,89,therapy,Mexico
7/28/2019,89,therapy,Mexico
8/11/2019,89,therapy,Mexico
8/25/2019,89,therapy,Mexico
3/1/2020,89,therapy,Mexico
5/10/2020,89,therapy,Mexico
5/24/2020,89,therapy,Mexico
6/28/2020,89,therapy,Mexico
7/12/2020,89,therapy,Mexico
7/19/2020,89,therapy,Mexico
7/11/2021,89,therapy,Mexico
5/17/2020,88,ocd,India
5/23/2021,88,insomnia,India
4/19/2020,88,therapy,India
8/23/2020,88,ocd,Brazil
12/13/2020,88,anxiety,Brazil
4/25/2021,88,anxiety,Brazil
6/20/2021,88,anxiety,Brazil
9/19/2021,88,anxiety,Brazil
6/16/2019,88,therapy,Brazil
6/23/2019,88,therapy,Brazil
11/10/2019,88,therapy,Brazil
5/24/2020,88,therapy,Brazil
7/5/2020,88,therapy,Brazil
9/13/2020,88,therapy,Brazil
10/25/2020,88,therapy,Brazil
4/11/2021,88,therapy,Brazil
4/25/2021,88,therapy,Brazil
5/16/2021,88,therapy,Brazil
8/15/2021,88,therapy,Brazil
8/29/2021,88,therapy,Brazil
7/25/2021,88,anxiety,Italy
8/22/2021,88,anxiety,Italy
9/5/2021,88,anxiety,Italy
9/26/2021,88,anxiety,Italy
5/5/2019,88,depression,New Zealand
11/17/2019,88,depression,New Zealand
8/30/2020,88,depression,New Zealand
2/14/2021,88,anxiety,New Zealand
3/1/2020,88,therapy,New Zealand
9/22/2019,88,depression,United States
10/20/2019,88,depression,United States
3/31/2019,88,anxiety,United States
4/14/2019,88,anxiety,United States
10/6/2019,88,anxiety,United States
10/13/2019,88,anxiety,United States
11/10/2019,88,anxiety,United States
1/26/2020,88,anxiety,United States
5/17/2020,88,anxiety,United States
8/2/2020,88,anxiety,United States
11/8/2020,88,anxiety,United States
12/13/2020,88,anxiety,United States
12/27/2020,88,anxiety,United States
10/20/2019,88,insomnia,United States
3/29/2020,88,insomnia,United States
4/5/2020,88,insomnia,United States
4/12/2020,88,insomnia,United States
10/18/2020,88,insomnia,United States
2/21/2021,88,insomnia,United States
4/4/2021,88,anxiety,Mexico
8/22/2021,88,anxiety,Mexico
8/4/2019,88,therapy,Mexico
10/20/2019,88,therapy,Mexico
11/24/2019,88,therapy,Mexico
3/22/2020,88,therapy,Mexico
3/29/2020,88,therapy,Mexico
4/19/2020,88,therapy,Mexico
6/7/2020,88,therapy,Mexico
3/7/2021,88,therapy,Mexico
5/16/2021,87,insomnia,India
4/11/2021,87,therapy,India
7/4/2021,87,therapy,India
4/28/2019,87,ocd,Brazil
4/26/2020,87,ocd,Brazil
10/18/2020,87,ocd,Brazil
1/10/2021,87,anxiety,Brazil
1/31/2021,87,anxiety,Brazil
5/9/2021,87,anxiety,Brazil
1/12/2020,87,insomnia,Brazil
5/17/2020,87,insomnia,Brazil
6/28/2020,87,insomnia,Brazil
7/11/2021,87,insomnia,Brazil
4/28/2019,87,therapy,Brazil
9/20/2020,87,therapy,Brazil
5/9/2021,87,therapy,Brazil
5/24/2020,87,anxiety,Italy
3/14/2021,87,anxiety,Italy
4/11/2021,87,anxiety,Italy
6/13/2021,87,anxiety,Italy
3/14/2021,87,anxiety,New Zealand
1/6/2019,87,depression,United States
4/14/2019,87,depression,United States
5/12/2019,87,depression,United States
9/29/2019,87,depression,United States
2/9/2020,87,depression,United States
3/1/2020,87,depression,United States
5/5/2019,87,anxiety,United States
1/12/2020,87,anxiety,United States
4/19/2020,87,anxiety,United States
2/14/2021,87,anxiety,United States
11/29/2020,87,insomnia,United States
1/17/2021,87,anxiety,Mexico
2/21/2021,87,anxiety,Mexico
4/11/2021,87,anxiety,Mexico
2/17/2019,87,therapy,Mexico
2/24/2019,87,therapy,Mexico
8/18/2019,87,therapy,Mexico
9/1/2019,87,therapy,Mexico
11/10/2019,87,therapy,Mexico
11/17/2019,87,therapy,Mexico
6/14/2020,87,therapy,Mexico
10/11/2020,87,therapy,Mexico
10/25/2020,87,therapy,Mexico
11/22/2020,87,therapy,Mexico
2/7/2021,87,therapy,Mexico
3/28/2021,87,therapy,Mexico
5/2/2021,87,therapy,Mexico
6/27/2021,87,therapy,Mexico
9/13/2020,86,therapy,India
10/13/2019,86,ocd,Brazil
12/6/2020,86,anxiety,Brazil
1/3/2021,86,anxiety,Brazil
1/17/2021,86,anxiety,Brazil
1/24/2021,86,anxiety,Brazil
6/6/2021,86,anxiety,Brazil
9/12/2021,86,anxiety,Brazil
6/7/2020,86,insomnia,Brazil
3/31/2019,86,therapy,Brazil
4/7/2019,86,therapy,Brazil
5/31/2020,86,therapy,Brazil
7/12/2020,86,therapy,Brazil
10/4/2020,86,therapy,Brazil
10/11/2020,86,therapy,Brazil
6/6/2021,86,therapy,Brazil
7/19/2020,86,anxiety,Italy
3/7/2021,86,anxiety,New Zealand
4/11/2021,86,anxiety,New Zealand
5/9/2021,86,anxiety,New Zealand
7/25/2021,86,therapy,New Zealand
5/17/2020,86,ocd,United States
5/26/2019,86,depression,United States
1/19/2020,86,depression,United States
11/15/2020,86,depression,United States
1/27/2019,86,anxiety,United States
4/7/2019,86,anxiety,United States
6/23/2019,86,anxiety,United States
7/14/2019,86,anxiety,United States
2/2/2020,86,anxiety,United States
4/5/2020,86,anxiety,United States
1/12/2020,86,insomnia,United States
3/21/2021,86,insomnia,United States
6/9/2019,86,therapy,Mexico
2/9/2020,86,therapy,Mexico
4/26/2020,86,therapy,Mexico
8/2/2020,86,therapy,Mexico
1/17/2021,86,therapy,Mexico
1/31/2021,86,therapy,Mexico
6/13/2021,86,therapy,Mexico
9/19/2021,86,therapy,Mexico
5/31/2020,86,ocd,Italy
4/19/2020,85,insomnia,India
6/13/2021,85,therapy,India
6/7/2020,85,ocd,Brazil
5/30/2021,85,ocd,Brazil
5/2/2021,85,anxiety,Brazil
7/11/2021,85,anxiety,Brazil
8/1/2021,85,anxiety,Brazil
8/15/2021,85,anxiety,Brazil
1/19/2020,85,therapy,Brazil
5/17/2020,85,therapy,Brazil
6/21/2020,85,therapy,Brazil
9/27/2020,85,therapy,Brazil
3/28/2021,85,anxiety,Italy
5/3/2020,85,insomnia,New Zealand
5/19/2019,85,depression,United States
1/26/2020,85,depression,United States
2/2/2020,85,depression,United States
12/6/2020,85,depression,United States
7/7/2019,85,anxiety,United States
9/15/2019,85,anxiety,United States
9/29/2019,85,anxiety,United States
10/27/2019,85,anxiety,United States
3/8/2020,85,anxiety,United States
7/7/2019,85,insomnia,United States
9/13/2020,85,insomnia,United States
9/20/2020,85,insomnia,United States
12/13/2020,85,insomnia,United States
4/11/2021,85,insomnia,United States
8/15/2021,85,insomnia,United States
3/21/2021,85,anxiety,Mexico
5/26/2019,85,therapy,Mexico
7/14/2019,85,therapy,Mexico
9/15/2019,85,therapy,Mexico
9/29/2019,85,therapy,Mexico
2/2/2020,85,therapy,Mexico
4/12/2020,85,therapy,Mexico
11/8/2020,85,therapy,Mexico
8/29/2021,85,therapy,Mexico
5/23/2021,84,ocd,India
7/11/2021,84,therapy,India
6/7/2020,84,anxiety,Brazil
6/21/2020,84,anxiety,Brazil
2/14/2021,84,anxiety,Brazil
2/28/2021,84,anxiety,Brazil
9/27/2020,84,insomnia,Brazil
4/14/2019,84,therapy,Brazil
8/4/2019,84,therapy,Brazil
8/11/2019,84,therapy,Brazil
1/26/2020,84,therapy,Brazil
2/16/2020,84,therapy,Brazil
2/23/2020,84,therapy,Brazil
4/19/2020,84,therapy,Brazil
4/26/2020,84,therapy,Brazil
2/28/2021,84,therapy,Brazil
9/5/2021,84,therapy,Brazil
11/17/2019,84,anxiety,Italy
4/25/2021,84,anxiety,Italy
6/20/2021,84,anxiety,Italy
7/4/2021,84,anxiety,Italy
7/11/2021,84,anxiety,Italy
10/6/2019,84,depression,New Zealand
10/18/2020,84,depression,New Zealand
1/31/2021,84,therapy,New Zealand
5/23/2021,84,therapy,New Zealand
9/26/2021,84,therapy,New Zealand
1/20/2019,84,depression,United States
1/12/2020,84,depression,United States
10/4/2020,84,depression,United States
1/13/2019,84,anxiety,United States
4/21/2019,84,anxiety,United States
12/1/2019,84,anxiety,United States
5/10/2020,84,anxiety,United States
6/7/2020,84,anxiety,United States
1/27/2019,84,insomnia,United States
10/11/2020,84,insomnia,United States
10/25/2020,84,insomnia,United States
8/8/2021,84,insomnia,United States
7/12/2020,84,anxiety,Mexico
2/7/2021,84,anxiety,Mexico
2/28/2021,84,anxiety,Mexico
5/2/2021,84,anxiety,Mexico
4/19/2020,84,insomnia,Mexico
7/7/2019,84,therapy,Mexico
7/21/2019,84,therapy,Mexico
12/1/2019,84,therapy,Mexico
1/19/2020,84,therapy,Mexico
3/15/2020,84,therapy,Mexico
7/26/2020,84,therapy,Mexico
10/4/2020,84,therapy,Mexico
6/6/2021,84,therapy,Mexico
9/5/2021,84,therapy,Mexico
5/24/2020,84,ocd,Italy
4/26/2020,83,ocd,India
6/7/2020,83,therapy,India
9/6/2020,83,therapy,India
4/4/2021,83,therapy,India
3/29/2020,83,anxiety,Brazil
4/26/2020,83,anxiety,Brazil
8/22/2021,83,anxiety,Brazil
9/26/2021,83,anxiety,Brazil
1/26/2020,83,insomnia,Brazil
7/19/2020,83,insomnia,Brazil
1/24/2021,83,insomnia,Brazil
6/30/2019,83,therapy,Brazil
7/14/2019,83,therapy,Brazil
12/1/2019,83,therapy,Brazil
1/12/2020,83,therapy,Brazil
2/9/2020,83,therapy,Brazil
5/10/2020,83,therapy,Brazil
8/23/2020,83,therapy,Brazil
8/30/2020,83,therapy,Brazil
9/6/2020,83,therapy,Brazil
11/29/2020,83,therapy,Brazil
2/21/2021,83,therapy,Brazil
8/1/2021,83,therapy,Brazil
8/8/2021,83,therapy,Brazil
3/15/2020,83,anxiety,Italy
5/31/2020,83,anxiety,Italy
6/7/2020,83,anxiety,Italy
1/31/2021,83,anxiety,Italy
2/21/2021,83,anxiety,Italy
6/6/2021,83,anxiety,Italy
8/8/2021,83,anxiety,Italy
7/26/2020,83,therapy,New Zealand
10/11/2020,83,therapy,New Zealand
9/19/2021,83,therapy,New Zealand
5/24/2020,83,ocd,United States
9/15/2019,83,depression,United States
1/5/2020,83,depression,United States
4/26/2020,83,depression,United States
9/13/2020,83,depression,United States
9/20/2020,83,depression,United States
10/18/2020,83,depression,United States
5/12/2019,83,anxiety,United States
8/25/2019,83,anxiety,United States
9/1/2019,83,anxiety,United States
12/8/2019,83,anxiety,United States
