week,depression,ocd,anxiety,insomnia,therapy,nation
9/26/2021,75,75,100,81,80,United States
9/19/2021,80,100,98,80,85,United States
9/12/2021,72,80,98,83,86,United States
9/5/2021,70,74,96,77,85,United States
8/29/2021,67,67,97,79,88,United States
8/22/2021,61,69,97,70,86,United States
8/15/2021,69,74,95,85,86,United States
8/8/2021,67,74,93,84,84,United States
8/1/2021,66,66,89,82,87,United States
7/25/2021,68,67,92,78,86,United States
7/18/2021,69,68,94,73,88,United States
7/11/2021,68,71,93,75,90,United States
7/4/2021,64,68,95,70,88,United States
6/27/2021,67,63,90,74,91,United States
6/20/2021,70,76,89,81,85,United States
6/13/2021,66,69,90,74,86,United States
6/6/2021,69,69,91,66,88,United States
5/30/2021,73,70,91,69,88,United States
5/23/2021,68,68,90,67,83,United States
5/16/2021,74,65,93,76,85,United States
5/9/2021,73,76,93,70,85,United States
5/2/2021,74,81,94,78,87,United States
4/25/2021,74,80,97,77,87,United States
4/18/2021,77,76,95,77,87,United States
4/11/2021,77,71,97,85,87,United States
4/4/2021,72,77,94,70,81,United States
3/28/2021,71,66,90,82,86,United States
3/21/2021,76,69,93,86,86,United States
3/14/2021,73,72,89,82,86,United States
3/7/2021,79,66,98,73,86,United States
2/28/2021,81,76,100,74,84,United States
2/21/2021,79,77,98,88,86,United States
2/14/2021,78,74,87,83,86,United States
2/7/2021,77,78,96,78,80,United States
1/31/2021,80,70,95,83,80,United States
1/24/2021,78,76,96,92,86,United States
1/17/2021,78,72,98,92,85,United States
1/10/2021,72,67,91,97,87,United States
1/3/2021,74,66,92,100,85,United States
12/27/2020,71,63,88,77,86,United States
12/20/2020,65,65,80,72,86,United States
12/13/2020,75,66,88,85,85,United States
12/6/2020,85,76,92,81,83,United States
11/29/2020,81,78,91,87,87,United States
11/22/2020,74,76,83,72,87,United States
11/15/2020,86,74,92,82,88,United States
11/8/2020,81,75,88,76,73,United States
11/1/2020,66,52,80,60,84,United States
10/25/2020,79,70,90,84,82,United States
10/18/2020,83,72,96,88,78,United States
10/11/2020,80,76,93,84,71,United States
10/4/2020,84,69,93,81,76,United States
9/27/2020,80,73,91,75,89,United States
9/20/2020,83,74,94,85,90,United States
9/13/2020,83,72,93,85,92,United States
9/6/2020,79,67,91,76,95,United States
8/30/2020,76,67,93,74,89,United States
8/23/2020,73,66,97,81,89,United States
8/16/2020,77,72,92,79,93,United States
8/9/2020,74,68,92,79,91,United States
8/2/2020,76,66,88,82,92,United States
7/26/2020,77,67,94,77,92,United States
7/19/2020,77,72,89,89,84,United States
7/12/2020,76,72,95,82,80,United States
